fid,OBJECTID,UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,FUENTE_INE,FUENTE_G,Z,XGD,YGD,Y_X_COORD
150856,150856,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,682692,Nuevo Triunfo,NUEVO TRIUNFO,0,1,IP, , , ,MED-GPS,118,-73.49824911,-4.12637,-77.62461911
150901,150901,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,614659,Nueva Vida,NUEVA VIDA,0,1,IP,1601130047, ,INEI17,MED-GPS,97,-73.40932997,-4.15064353,-77.5599735
150912,150912,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,533248,Buena Suerte,BUENA SUERTE,0,0, , , , ,IGN,106,-73.39890352,-4.17948365,-77.57838717
150921,150921,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,520092,Piura,PIURA,0,0, , , ,INEI13,IGN,97,-73.41815752,-4.20600602,-77.62416354
150930,150930,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,622213,Luz del Oriente,LUZ DEL ORIENTE,0,1,P,1601130059, ,INEI17,MED-GPS,105,-73.63447988,-4.28234596,-77.91682584
150931,150931,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,618926,Meliton Carbajal,MELITON CARBAJAL,0,1,IPS,1601130058, ,INEI17,MED-GPS,96,-73.59773984,-4.26694604,-77.86468588
150933,150933,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,622658,12 de Octubre,12 DE OCTUBRE,0,1,P,1601130057, ,INEI17,MED-GPS,100,-73.54839622,-4.24624634,-77.79464256
150935,150935,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,617482,Nuevo Miraflores,NUEVO MIRAFLORES,0,1,P,1601130054, ,INEI17,MED-GPS,94,-73.46621037,-4.22321088,-77.68942125
150937,150937,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,610626,Nuevo Progreso,NUEVO PROGRESO,0,1,P,1601130051, ,INEI17,MED-GPS,97,-73.42731618,-4.20777807,-77.63509425
150944,150944,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,625001,Villa Belen,VILLA BELEN,0,1,P,1601130061, ,INEI17,MED-GPS,106,-73.71282013,-4.28043967,-77.9932598
150945,150945,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,616944,28 de Enero,28 DE ENERO,0,1,P,1601130060, ,INEI17,MED-GPS,98,-73.59195738,-4.27171253,-77.86366991
150948,150948,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,622763,Nuevo San Martin I Zona,NUEVO SAN MARTIN I ZONA,0,1,P,1601130052, ,INEI17,MED-GPS,94,-73.4139585,-4.18795409,-77.60191259
150950,150950,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,622233,Buena Vista,BUENA VISTA,0,0, , , , ,INEI,105,-73.43144527,-4.20116802,-77.63261329
150954,150954,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,611545,Union,UNION,0,1,IP,1601130043, ,INEI17,MED-GPS,111,-73.41628681,-4.12752995,-77.54381676
150955,150955,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,620808,10 de Octubre I Zona,10 DE OCTUBRE I ZONA,0,1,IP,1601130044, ,INEI17,MED-GPS,102,-73.44906753,-4.12412748,-77.57319501
150958,150958,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,513917,Varadero de Omaguas,VARADERO DE OMAGUAS,0,1,P,1601130048, ,INEI17,MED-GPS,103,-73.39494152,-4.16365118,-77.5585927
150959,150959,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,652547,Agua Blanca,AGUA BLANCA,0,0, ,1601130081, ,INEI17,MED-GPS,102,-73.53959975,-4.21576306,-77.75536281
150960,150960,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,652549,El Huambe,EL HUAMBE,0,1,IP,1601130079, ,INEI17,MED-GPS,110,-73.50460929,-4.15732076,-77.66193005
150961,150961,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,652550,San Martin II Zona,SAN MARTIN II ZONA,0,1,P,1601130090, ,INEI17,MED-GPS,103,-73.43807024,-4.17876023,-77.61683047
150962,150962,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,683032,Nuevo San Martin I Zona,NUEVO SAN MARTIN I ZONA,0,1,IP, , , ,IMG_SATELITAL,133,-73.51559905,-4.28785681,-77.80345586
150963,150963,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654876,Huascar,HUASCAR,0,0, ,1601130084, ,INEI17,INEI,104,-73.5459997,-4.260209218,-77.80620891
150964,150964,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654877,10 de Octubre II Zona,10 DE OCTUBRE II ZONA,0,1,P,1601130082, ,INEI17,MED-GPS,120,-73.4618107,-4.15277979,-77.61459049
150965,150965,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654878,Los Cedros,LOS CEDROS,0,0, ,1601130083, ,INEI17,INEI,102,-73.45162166,-4.222399551,-77.67402121
150966,150966,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654879,Ciudad Satelite,CIUDAD SATELITE,0,1,P,1601130080, ,INEI17,UGEL-GPS,135,-73.5711692,-4.223367245,-77.79453645
150968,150968,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,666005,Nuevo San Juan,NUEVO SAN JUAN,0,0, ,1601130086, ,INEI17,INEI,124,-73.53153941,-4.330361667,-77.86190108
150975,150975,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,624497,12 de Abril,12 DE ABRIL,0,1,IPS,1601130055, ,INEI17,MED-GPS,99,-73.4838013,-4.21977635,-77.70357765
150976,150976,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,212806,Nuevo San Juan,NUEVO SAN JUAN,0,1,IP, , , ,MED-GPS,126,-73.5315588,-4.33054149,-77.86210029
150977,150977,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,518973,Cahuide,CAHUIDE,0,1,IPS,1601130056, ,INEI17,MED-GPS,96,-73.48777991,-4.23102361,-77.71880352
150978,150978,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,652546,Habana,HABANA,0,1,IP,1601130049, ,INEI17,MED-GPS,98,-73.47933417,-4.20314447,-77.68247864
150979,150979,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,618747,El Triunfo,EL TRIUNFO,0,1,IP,1601130046, ,INEI17,MED-GPS,103,-73.47422431,-4.15412791,-77.62835222
150991,150991,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654893,Nuevo Triunfo,NUEVO TRIUNFO,0,0, ,1601130078, ,INEI17,INEI,112,-73.49783532,-4.12628745,-77.62412277
150992,150992,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654936,23 de Febrero,23 DE FEBRERO,0,0, ,1601130089, ,INEI17,INEI,106,-73.45847309,-4.149769549,-77.60824264
150998,150998,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,684152,Huambe Ii Zona,HUAMBE II ZONA,0,1,P, , , ,DRE/UGEL,162,-73.5377,-4.1483,-77.686
151001,151001,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,689871,San Martin,SAN MARTIN,0,0, ,1601130092, ,INEI17,INEI,108,-73.40038595,-4.190012051,-77.590398
151733,151733,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,510505,San Pedro,SAN PEDRO,0,1,P,1601130014, ,INEI17,MED-GPS,86,-73.36611571,-3.99999146,-77.36610717
151735,151735,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,620945,Santa Eloisa,SANTA ELOISA,0,1,IP,1601130042, ,INEI17,MED-GPS,94,-73.38066426,-4.06990854,-77.4505728
151736,151736,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,618268,Nuevo Milagro,NUEVO MILAGRO,0,1,IPSKL,1601130034, ,INEI17,MED-GPS,134,-73.37414075,-3.93885069,-77.31299144
