cp,year,Deforestation,ruta,class,Nigth_light
CAHUIDE,2015,4.3718725,Iquitos-Nauta,old,0.2249219
CAHUIDE,2016,3.5827745,Iquitos-Nauta,old,0.2337246
CAHUIDE,2017,2.6585203,Iquitos-Nauta,old,0.477642
CAHUIDE,2018,1.9503032,Iquitos-Nauta,old,0.4079256
CAHUIDE,2019,1.312976,Iquitos-Nauta,old,0.3289974
CAHUIDE,2020,0.6336079,Iquitos-Nauta,old,0.4704247
CAHUIDE,2021,0,Iquitos-Nauta,old,0.5248467
VARILLAL,2015,8.2062108,Iquitos-Nauta,old,0.5395226
VARILLAL,2016,6.4065325,Iquitos-Nauta,old,0.7851721
VARILLAL,2017,4.7180262,Iquitos-Nauta,old,0.9816106
VARILLAL,2018,3.5412625,Iquitos-Nauta,old,1.1612052
VARILLAL,2019,2.496366,Iquitos-Nauta,old,1.0522637
VARILLAL,2020,1.2988381,Iquitos-Nauta,old,1.1816704
VARILLAL,2021,0,Iquitos-Nauta,old,1.4243518
QUISTOCOCHA,2015,5.1958982,Iquitos-Nauta,old,3.277966
QUISTOCOCHA,2016,4.2333345,Iquitos-Nauta,old,3.4835232
QUISTOCOCHA,2017,2.6830107,Iquitos-Nauta,old,4.1803346
QUISTOCOCHA,2018,2.012318,Iquitos-Nauta,old,3.8327329
QUISTOCOCHA,2019,1.4938137,Iquitos-Nauta,old,3.8217562
QUISTOCOCHA,2020,0.8643718,Iquitos-Nauta,old,4.3189991
QUISTOCOCHA,2021,0,Iquitos-Nauta,old,4.8028806
LOS DELFINES,2015,5.9385399,Iquitos-Nauta,old,1.6566973
LOS DELFINES,2016,4.8556447,Iquitos-Nauta,old,1.8020406
LOS DELFINES,2017,3.2225434,Iquitos-Nauta,old,2.4344067
LOS DELFINES,2018,2.3409601,Iquitos-Nauta,old,2.5243409
LOS DELFINES,2019,1.6261058,Iquitos-Nauta,old,2.1569526
LOS DELFINES,2020,0.8327746,Iquitos-Nauta,old,2.4113649
LOS DELFINES,2021,0,Iquitos-Nauta,old,2.8517772
PEÑA NEGRA,2015,6.0804313,Iquitos-Nauta,old,1.2104867
PEÑA NEGRA,2016,4.7922663,Iquitos-Nauta,old,1.4456404
PEÑA NEGRA,2017,3.4641793,Iquitos-Nauta,old,1.8530688
PEÑA NEGRA,2018,2.5270924,Iquitos-Nauta,old,2.0200693
PEÑA NEGRA,2019,1.6889775,Iquitos-Nauta,old,1.7654122
PEÑA NEGRA,2020,0.8659229,Iquitos-Nauta,old,2.0006742
PEÑA NEGRA,2021,0,Iquitos-Nauta,old,2.3672961
AA.HH. VILLA SELVA,2015,3.6788303,Iquitos-Nauta,old,7.78189
AA.HH. VILLA SELVA,2016,3.1803842,Iquitos-Nauta,old,8.4577465
AA.HH. VILLA SELVA,2017,2.0596099,Iquitos-Nauta,old,9.4658648
AA.HH. VILLA SELVA,2018,1.5485145,Iquitos-Nauta,old,8.2177463
AA.HH. VILLA SELVA,2019,1.1083001,Iquitos-Nauta,old,8.0603394
AA.HH. VILLA SELVA,2020,0.5952976,Iquitos-Nauta,old,9.370385
AA.HH. VILLA SELVA,2021,0,Iquitos-Nauta,old,10.4525345
AA.HH SAN ANTONIO DEL TERMINAL,2015,4.0376233,Iquitos-Nauta,old,6.4318419
AA.HH SAN ANTONIO DEL TERMINAL,2016,3.342816,Iquitos-Nauta,old,6.8979883
AA.HH SAN ANTONIO DEL TERMINAL,2017,2.1286439,Iquitos-Nauta,old,7.7850498
AA.HH SAN ANTONIO DEL TERMINAL,2018,1.608562,Iquitos-Nauta,old,6.946714
AA.HH SAN ANTONIO DEL TERMINAL,2019,1.1475881000000001,Iquitos-Nauta,old,6.7536248
AA.HH SAN ANTONIO DEL TERMINAL,2020,0.610104,Iquitos-Nauta,old,7.658412
AA.HH SAN ANTONIO DEL TERMINAL,2021,0,Iquitos-Nauta,old,8.5970877
"NAUTA",2015,6.6048131,Iquitos-Nauta,new,0.7536901
"NAUTA",2016,5.4252232,Iquitos-Nauta,new,0.7730712
"NAUTA",2017,4.1613163,Iquitos-Nauta,new,0.9938399
"NAUTA",2018,3.1379103,Iquitos-Nauta,new,1.1247545
"NAUTA",2019,2.1546052,Iquitos-Nauta,new,0.9184711
"NAUTA",2020,1.0929261,Iquitos-Nauta,new,1.1730688
"NAUTA",2021,0,Iquitos-Nauta,new,1.5247271
NUEVO SAN JUAN,2015,2.8012223,Iquitos-Nauta,new,0.2068863
NUEVO SAN JUAN,2016,1.9765963,Iquitos-Nauta,new,0.2103211
NUEVO SAN JUAN,2017,1.3085554,Iquitos-Nauta,new,0.4145718
NUEVO SAN JUAN,2018,0.9762029,Iquitos-Nauta,new,0.4056971
NUEVO SAN JUAN,2019,0.5943963,Iquitos-Nauta,new,0.318896
